id,job_title,title,company,location,created,description,salary_min,salary_max,contract_type,contract_time,apply_link
1,Data Scientist,Data Scientist,Advertising Standard Authority,"Broadgate, Central London",2025-02-19T17:41:18Z,"Data Scientist London (Hybrid) Circa £45,000 - £60,000 Permanent Full time / Part time Closing Date: Wednesday 5thMarch 2025 We currently have an opportunity for a Data Scientist to join our team. This role is open to flexible working, with 21 hours per week a minimum. The ASA is the UKs regulator of advertising across all media, including online. Our work includes taking proactive action against misleading, harmful, offensive or otherwise irresponsible ads and acting on complaints. Our Data Sc…",60000.0,60000.0,permanent,part_time,https://www.adzuna.co.uk/jobs/land/ad/5056536365?se=yDklFhT07xGvpGD6D6qL_Q&utm_medium=api&utm_source=aa0fe70e&v=63913AB9DE335B8CED4B85FF3792FBEE047ABCCC
2,Data Scientist,Lead Data Scientist,Proactive Appointments Limited,"South East London, London",2025-02-12T17:19:30Z,"Lead Data Scientist – Fully Remote Our client is looking for a Lead Data Scientist to join there team of Data Scientists, to hit the ground running and to act as a mentor to the Data Scientist. You will have a blend of the following skills:- Development of Data Science strategies Strong knowledge of data science analytics and machine learning Excellent python experience SQL and Azure knowledge Experience in Frameworks – Libraries – NLP essential Worked on Collaborative projects If this could be…",47545.73,47545.73,permanent,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5047427411?se=yDklFhT07xGvpGD6D6qL_Q&utm_medium=api&utm_source=aa0fe70e&v=6371342E64CA68B9246598F6C758ECD0AC0A43F2
3,Data Scientist,Lead Data Scientist,Proactive Appointments Limited,"South East London, London",2025-02-13T01:23:58Z,Lead Data Scientist – Fully Remote Our client is seeking a Lead Data Scientist to join their team. This role requires someone who can hit the ground running and serve as a mentor to other Data Scientists. The ideal candidate will possess a strong blend of technical expertise and leadership skills. Key Responsibilities: Develop and implement data science strategies Leverage advanced analytics and machine learning techniques Utilize Python for data science and analytics Work with SQL and Azure en…,50000.0,50000.0,permanent,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5047784612?se=yDklFhT07xGvpGD6D6qL_Q&utm_medium=api&utm_source=aa0fe70e&v=369889BE30C2E180E4C4C66900A7091670D92D1D
4,Data Scientist,Senior Actuarial Data Scientist,83Zero,"London, UK",2025-02-25T04:35:21Z,"Senior Actuarial Data Scientist (Contract) Location: Hybrid / London Contract Length: 6-12 months (potential for extension) We are hiring a Senior Actuarial Data Scientist to support a leading insurance client in leveraging AI & advanced analytics for pricing, underwriting, and claims optimization. This is an exciting opportunity to work at the intersection of actuarial science, machine learning, and data-driven decision-making in a dynamic, fast-paced environment. Key Responsibilities: Develop…",130000.0,143000.0,permanent,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5062614771?se=yDklFhT07xGvpGD6D6qL_Q&utm_medium=api&utm_source=aa0fe70e&v=A6954F3CFD063D34D71083620E4FB5C9DFA62BA7
5,Data Scientist,Data Scientist,Greater London Authority ,"London, UK",2025-02-07T11:12:12Z,"The work of the directorate’s teams includes delivery of major events, designing and leading public affairs or marketing campaigns, providing data, evidence and analysis, leading cross-organisational programmes, to making sure we plan for and can respond to emerging events or emergencies in our city. About the team The City Data Team is made up of a range of technical experts in the fields of Data Science and Engineering, Data Visualisation and Information Design, GIS and Mapping, and Demograph…",50943.4,50943.4,Unknown,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5040983543?se=yDklFhT07xGvpGD6D6qL_Q&utm_medium=api&utm_source=aa0fe70e&v=14A9D337FAA2C858EA4DEC99E3D673E423030E42
6,Data Scientist,Data Scientist,Understanding Recruitment,"London, UK",2025-02-22T05:58:05Z,"⚡Data Scientist | London | Decarbonize the grid  Are you passionate about having a positive impact on society?  How can Data Science influence the decarbonization of the grid? As a Data Scientist, you will join a fast-growing Energy Tech startup that are building the critical infrastructure to accelerate our transition to net-zero and underpin a decarbonized energy system They are backed by top VCs & Angel Investors (previously invested in Meta, BeReal, Slack , and more) You will build greenfie…",43350.29,43350.29,Unknown,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5060185999?se=yDklFhT07xGvpGD6D6qL_Q&utm_medium=api&utm_source=aa0fe70e&v=E3FC26AC3A6F2F0C860BF90C0F70B5DA76062F0F
7,Data Scientist,Data Scientist,Understanding Recruitment,"London, UK",2025-02-09T05:11:33Z,"⚡Data Scientist | London | Decarbonize the grid  Are you passionate about having a positive impact on society?  How can Data Science influence the decarbonization of the grid? As a Data Scientist, you will join a fast-growing Energy Tech startup that are building the critical infrastructure to accelerate our transition to net-zero and underpin a decarbonized energy system They are backed by top VCs & Angel Investors (previously invested in Meta, BeReal, Slack, and more) You will build greenfiel…",42712.12,42712.12,Unknown,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5043556664?se=yDklFhT07xGvpGD6D6qL_Q&utm_medium=api&utm_source=aa0fe70e&v=95C81CE128FAC1FE4B25ECB761691F10457F158C
8,Data Scientist,Data Scientist,Anson McCade,"The City, Central London",2025-02-09T05:12:07Z,Data Scientist Day Rate: Up to £650 outside IR35 Industry: Defence/National Security Location: Central London - Hybrid Duration: 3 Month Rolling Start Date: 1 Week Notice The Opportunity: The UK’s leading AI Consultancy seeks an influential Data Scientist & ML technologist to push the boundaries of innovation in a mission-critical defence project. The Role: You'll join a high-performing ML engineering team of data science and AI experts solving complex challenges in Radar and Sonar Signal Proce…,76513.25,76513.25,contract,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5043557102?se=yDklFhT07xGvpGD6D6qL_Q&utm_medium=api&utm_source=aa0fe70e&v=C6F5E238EFE1A5F35D0E95BFD176C5156CC7AB1E
9,Data Scientist,Data Scientist,Heart Mind Talent,"London, UK",2025-02-14T07:31:57Z," Join the Mission to Decarbonise the Grid ⚡ Data Scientist Heart Mind Talent is proud to partner with a rapidly growing startup that’s building the future of the energy grid. Their mission is to optimise renewable energy usage, reduce CO2 emissions, and make electricity greener and more affordable for everyone. As the energy system transforms faster than ever, innovative software solutions are critical to achieving net-zero emissions. This cutting-edge platform uses machine learning to shift en…",50661.62,50661.62,Unknown,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5049343279?se=yDklFhT07xGvpGD6D6qL_Q&utm_medium=api&utm_source=aa0fe70e&v=1022C61713C26E66817BC0B19097EC494632931F
10,Data Scientist,Data Scientist,Understanding Recruitment,"London, UK",2025-02-24T07:26:19Z,"⚡Data Scientist | London | Decarbonize the grid As a Data Scientist, you will join a fast-growing Energy Tech startup that are building the critical infrastructure to accelerate our transition to net-zero and underpin a decarbonized energy system They are backed by top VCs & Angel Investors (previously invested in Meta, BeReal, Slack , and more) You will build greenfield solutions from scratch that leverages machine learning to optimize energy usage. This predicts and balances energy needs in r…",43461.73,43461.73,Unknown,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5061893340?se=yDklFhT07xGvpGD6D6qL_Q&utm_medium=api&utm_source=aa0fe70e&v=AF7C36FFA71B0D6920F609DB0844928DF4A74D97
